shipment_id,region,transport_mode,carrier,month,shipment_volume,distance_km,delivery_time_days,transport_cost,weather_delay_days,handling_hours,on_time
S0050,North,Road,Carrier A,Mar,83,70.8,2.11,168.99,0.0,4.166288306532486,1
S0051,North,Road,Carrier C,May,82,317.1,2.57,320.95,0.4,3.3616005218435836,1
S0052,North,Road,Carrier A,Sep,94,206.6,1.68,189.13,0.0,3.256458910858533,1
S0053,West,Road,Carrier A,Aug,102,492.7,3.19,357.38,0.0,3.6869536677708163,1
S0054,East,Air,Carrier A,Sep,30,376.6,1.78,735.23,0.0,4.722829883369059,1
S0055,East,Road,Carrier A,Aug,38,201.2,1.97,218.5,0.0,3.170955352187505,1
S0056,West,Road,Carrier C,Jan,85,36.2,1.41,113.01,0.0,2.8869596291286155,0
S0057,South,Road,Carrier D,Aug,62,272.3,2.47,236.86,0.0,4.508719623322579,1
S0058,East,Road,Carrier A,Nov,113,254.8,2.14,258.09,0.0,3.9675504159911354,1
S0059,North,Road,Carrier B,Aug,72,30.0,1.11,75.08,0.0,2.679020159616278,1
S0060,North,Road,Carrier C,Jul,32,347.2,2.08,317.78,0.4,3.0051864486590203,1
S0061,East,Road,Carrier D,Mar,48,96.9,0.97,122.93,0.0,3.1953809159387987,1
S0062,South,Road,Carrier C,Oct,20,509.7,2.91,417.56,0.0,3.3618129446049827,1
S0063,East,Rail,Carrier A,Jun,74,243.5,1.9,169.83,0.0,1.643400149060886,1
S0064,East,Rail,Carrier C,Apr,75,158.5,1.54,110.47,0.0,1.4575153921984398,1
S0065,East,Rail,Carrier B,Jun,69,300.5,2.47,195.45,0.0,2.112609977997546,1
S0066,East,Rail,Carrier D,Feb,107,287.4,2.49,123.85,0.9,2.0352615569886576,1
S0067,East,Rail,Carrier B,Dec,110,279.8,1.86,212.09,0.0,2.3561759860274973,0
S0068,South,Road,Carrier C,Sep,76,465.8,2.74,373.84,0.0,3.6347106420900044,1
S0069,North,Road,Carrier A,Apr,27,313.6,2.02,292.57,0.0,2.8310708436752616,1
S0070,South,Road,Carrier B,Oct,95,147.2,2.56,133.02,0.4,3.1963946050101884,1
S0071,North,Road,Carrier D,Jan,94,211.4,1.73,263.74,0.0,1.7756965899577384,1
S0072,South,Rail,Carrier C,May,88,631.3,3.39,386.81,0.0,2.5383577970790547,0
S0073,West,Road,Carrier B,Aug,105,136.5,2.79,244.38,0.4,3.5872576617448404,1
S0074,North,Rail,Carrier D,Jan,51,343.4,1.99,234.34,0.0,3.5949524581768015,1
S0075,North,Air,Carrier D,Sep,130,477.3,1.7,946.12,0.0,2.275426171812092,1
S0076,South,Road,Carrier B,Oct,56,366.6,2.5,258.11,0.0,3.1616623863795534,1
S0077,South,Air,Carrier B,Aug,99,273.5,1.84,627.28,0.0,5.198847853482333,1
S0078,East,Road,Carrier B,Mar,38,304.7,3.3,237.54,0.9,2.982402070744362,1
S0079,East,Air,Carrier C,Sep,57,382.6,1.28,634.87,0.0,2.306813053857555,1
S0080,West,Road,Carrier B,May,118,135.1,1.66,159.01,0.0,2.8262376106378397,1
S0081,East,Road,Carrier A,Sep,73,256.0,2.19,252.16,0.0,3.092177107526833,1
S0082,South,Road,Carrier D,Aug,101,900.0,3.83,606.21,0.0,2.8488316193094505,1
S0083,West,Road,Carrier D,Feb,86,350.7,1.89,324.41,0.4,2.9686452993234984,1
S0084,North,Road,Carrier D,Feb,77,280.5,1.18,190.75,0.0,1.5565532030631604,1
S0085,North,Air,Carrier D,Jan,114,195.5,1.76,400.13,0.4,2.0373695249140487,1
S0086,North,Rail,Carrier C,Jan,74,136.4,1.6,198.03,0.0,2.8506647629285027,1
S0087,East,Road,Carrier C,Apr,35,311.9,1.02,297.75,0.0,2.8347320299775634,1
S0088,South,Road,Carrier C,Jan,60,327.2,2.41,245.15,0.0,2.4338107251399994,1
S0089,North,Road,Carrier B,Dec,94,243.6,2.5,251.07,0.4,2.822986413923563,1
S0090,South,Road,Carrier B,Nov,90,900.0,3.54,668.03,0.0,3.0610148554142054,1
S0091,North,Air,Carrier A,Mar,41,146.5,2.31,355.26,0.0,3.889413456524525,1
S0092,East,Road,Carrier C,Apr,62,119.3,1.32,171.53,0.0,2.900788264773949,1
S0093,South,Road,Carrier A,Sep,65,197.6,1.58,255.83,0.0,3.3991032052982533,1
S0094,South,Road,Carrier A,Aug,71,249.4,1.93,216.02,0.0,2.4583996985660788,1
S0095,South,Road,Carrier C,Jul,46,130.5,2.37,173.25,0.0,3.572095723598482,1
S0096,East,Road,Carrier B,Dec,64,306.6,3.2,279.46,0.4,3.375730297612357,0
S0097,South,Rail,Carrier A,Aug,62,330.2,3.03,226.89,0.0,3.8658170031798194,1
S0098,North,Rail,Carrier C,Sep,99,413.5,2.88,267.39,0.0,3.7134604624444876,1
S0099,North,Air,Carrier D,Jul,100,173.7,1.96,443.85,0.0,3.588735622881146,1
S0100,West,Rail,Carrier A,Jul,76,597.6,2.91,344.86,0.0,2.90158259134222,1
S0101,West,Road,Carrier A,Apr,70,395.0,2.38,296.01,0.0,3.244939227044468,1
S0102,East,Rail,Carrier B,Jul,83,144.0,1.82,194.87,0.0,4.063508928451526,1
S0103,North,Air,Carrier C,Dec,60,130.0,1.53,288.49,0.0,2.3479254305972055,1
S0104,West,Rail,Carrier D,May,51,208.1,1.6,161.03,0.0,2.3715922213031346,1
S0105,East,Air,Carrier A,Feb,56,330.8,2.22,612.53,0.4,3.181431397950362,1
S0106,East,Rail,Carrier C,Aug,64,364.6,2.38,259.88,0.0,3.4152796902654536,1
S0107,South,Air,Carrier A,Oct,51,394.5,0.6,628.5,0.0,2.1758935007359956,1
S0108,North,Road,Carrier B,Dec,84,900.0,4.39,659.79,0.4,2.9252374365866918,1
S0109,North,Rail,Carrier D,Jul,98,49.8,1.92,97.89,0.4,2.9060012257712153,1
S0110,West,Road,Carrier A,Oct,40,238.7,1.44,251.94,0.0,1.0,1
S0111,South,Road,Carrier A,Apr,81,865.5,3.63,589.3,0.0,2.78040601074124,1
S0112,North,Rail,Carrier B,Jun,75,426.3,3.19,269.58,0.0,2.842682167151534,1
S0113,South,Air,Carrier C,Jun,89,113.0,1.35,399.99,0.0,2.8397070571769807,1
S0114,East,Air,Carrier D,Apr,80,295.8,2.14,598.2,0.0,4.415914274577268,1
S0115,North,Road,Carrier D,Sep,44,228.3,1.78,255.31,0.0,1.7842017014911247,1
S0116,West,Rail,Carrier A,Nov,48,222.3,1.81,173.29,0.0,2.1753774287953873,1
S0117,East,Rail,Carrier A,Apr,81,171.1,1.09,164.49,0.0,1.0,1
S0118,East,Road,Carrier C,Feb,106,279.1,1.2,276.52,0.0,2.519083333825859,1
S0119,South,Road,Carrier A,Oct,25,527.4,2.65,414.51,0.0,2.604356445873999,1
S0120,East,Road,Carrier D,Nov,89,183.4,1.79,187.17,0.0,2.490022823665744,1
S0121,East,Rail,Carrier C,Dec,110,396.5,3.29,246.37,0.4,4.10767733948376,1
S0122,East,Road,Carrier A,Apr,76,443.5,3.23,346.55,0.4,3.8606175223369634,1
S0123,North,Air,Carrier D,Sep,94,594.4,2.27,1055.98,0.0,3.077856724267304,1
S0124,South,Road,Carrier A,Sep,62,128.2,1.77,161.33,0.0,2.6293869464601376,1
S0125,North,Air,Carrier B,Oct,77,263.5,1.85,578.28,0.0,4.026189668106864,1
S0126,South,Road,Carrier B,Oct,39,155.8,1.71,224.23,0.0,2.9802421401641483,1
S0127,South,Rail,Carrier B,Dec,21,279.5,2.52,153.55,0.0,2.181729961081542,0
S0128,North,Road,Carrier C,Jun,104,278.1,2.24,235.84,0.0,1.2837513225154484,1
S0129,North,Road,Carrier C,Jan,55,102.4,0.65,100.25,0.0,2.558685506104317,1
S0130,East,Rail,Carrier D,Mar,69,291.3,2.18,292.37,0.0,3.7546436171726087,1
S0131,North,Air,Carrier D,Nov,45,900.0,3.21,1482.45,0.0,5.27653868954309,1
S0132,West,Rail,Carrier B,Nov,45,365.5,3.23,255.59,0.0,3.061610346189476,1
S0133,East,Road,Carrier A,Jan,76,84.4,1.36,99.08,0.0,2.234644484879696,1
S0134,South,Road,Carrier C,May,62,121.5,2.1,157.8,0.9,1.815034791715786,1
S0135,East,Road,Carrier D,Mar,89,253.9,2.44,279.43,0.0,3.551954896305599,1
S0136,North,Road,Carrier B,Apr,91,123.9,1.5,157.35,0.0,1.2353839476157316,1
S0137,West,Rail,Carrier B,Aug,88,574.1,3.06,380.96,0.0,3.550345101404888,1
S0138,South,Rail,Carrier B,Jul,86,75.1,1.65,217.64,0.0,3.8177116062629124,1
S0139,West,Rail,Carrier A,Jun,119,367.3,3.07,232.15,0.0,3.436279453232864,1
S0140,North,Air,Carrier C,Jun,53,60.5,2.08,180.49,0.0,2.7803383280614424,1
S0141,South,Rail,Carrier B,Aug,79,251.0,2.74,175.07,0.0,3.5649406535468144,1
S0142,South,Rail,Carrier C,Sep,108,109.0,1.77,207.93,0.0,3.1709383711283,1
S0143,West,Road,Carrier D,Jan,112,412.9,2.24,388.0,0.0,2.221876158139408,0
S0144,East,Road,Carrier D,Feb,44,513.1,3.39,399.99,0.0,4.850412322375026,0
S0145,South,Rail,Carrier B,May,72,330.1,2.17,229.74,0.0,2.648320620389484,1
S0146,North,Air,Carrier B,Jun,114,528.5,2.06,954.15,0.0,3.775752300449909,1
S0147,South,Road,Carrier C,Dec,93,30.0,0.76,141.61,0.4,1.0,1
S0148,East,Road,Carrier C,Nov,85,288.7,2.58,273.34,0.0,4.276470882780929,1
S0149,South,Rail,Carrier B,Aug,75,363.7,2.48,250.68,0.0,4.468763744654582,1
S0150,North,Road,Carrier D,Jan,70,395.8,2.22,352.54,0.0,3.029833787126638,1
S0151,West,Road,Carrier A,Feb,87,349.3,2.47,309.58,0.0,3.5587710347377586,0
S0152,West,Air,Carrier D,Jun,74,401.6,2.6,742.02,0.0,3.5585151816075626,0
S0153,North,Rail,Carrier A,Aug,79,286.4,1.98,210.08,0.0,2.3572164303592755,1
S0154,East,Road,Carrier A,Aug,82,85.2,1.43,188.62,0.0,3.5471223054393404,1
S0155,North,Air,Carrier B,Feb,63,170.1,1.04,441.4,0.0,2.1913695301274445,1
S0156,East,Road,Carrier A,Nov,93,576.0,3.37,460.15,0.0,2.391243076354674,1
S0157,South,Air,Carrier A,Jun,153,534.8,1.4,1065.09,0.4,4.126943143212299,1
S0158,East,Road,Carrier A,Aug,36,359.2,2.16,297.23,0.0,3.9746576907002025,1
S0159,East,Road,Carrier B,Jan,88,418.7,4.21,320.68,0.9,2.2936244978842075,1
S0160,East,Road,Carrier C,Oct,61,494.5,2.57,400.72,0.0,2.2664236564989593,1
S0161,North,Road,Carrier A,Jul,94,356.4,2.11,318.38,0.4,2.354403397542328,1
S0162,West,Air,Carrier C,Mar,81,565.5,2.34,951.93,0.4,3.7326395664654908,1
S0163,North,Road,Carrier D,Apr,99,553.5,2.51,414.13,0.0,2.000015219189603,1
S0164,North,Road,Carrier A,May,109,900.0,4.38,640.09,0.4,3.3567126390359525,0
S0165,East,Road,Carrier A,Jan,85,175.8,3.12,198.52,0.4,3.7468468106342945,1
S0166,South,Rail,Carrier D,Dec,108,178.3,2.13,230.18,0.0,2.9117545497068997,1
S0167,West,Rail,Carrier D,Oct,21,338.5,2.53,245.59,0.0,4.010063696864927,1
S0168,West,Air,Carrier B,Nov,120,833.8,2.72,1479.03,0.0,2.6956898305102075,1
S0169,South,Road,Carrier C,May,89,594.2,2.99,461.31,0.4,2.7861443990060857,1
S0170,West,Road,Carrier A,Jul,107,453.4,2.4,373.97,0.0,2.0227537688681436,1
S0171,South,Road,Carrier B,Jun,50,620.3,2.96,429.15,0.4,4.017177347620205,1
S0172,South,Road,Carrier C,Jun,59,368.2,1.98,303.85,0.4,2.2334795530211298,1
S0173,North,Air,Carrier A,Aug,84,210.0,2.06,476.16,0.9,3.3497718177150593,1
S0174,West,Rail,Carrier C,Jun,80,900.0,4.05,423.54,0.0,2.928683932874065,1
S0175,North,Road,Carrier B,Oct,87,350.1,2.22,283.24,0.0,1.9472169368883374,1
S0176,North,Road,Carrier C,Jan,107,545.7,2.2,416.65,0.0,2.3908968561766795,1
S0177,South,Air,Carrier B,Mar,36,30.0,1.12,181.84,0.4,4.382872239040734,1
S0178,West,Road,Carrier B,Nov,104,30.0,1.41,151.04,0.4,3.2016575426344804,1
S0179,West,Road,Carrier A,Nov,80,295.1,1.71,247.33,0.0,1.990849658633158,1
S0180,East,Road,Carrier A,Oct,75,124.0,1.28,194.58,0.0,3.3053282873486918,1
S0181,West,Road,Carrier C,May,43,314.4,2.67,264.72,0.0,2.853885968405455,1
S0182,West,Road,Carrier A,Jun,93,178.1,3.14,145.01,0.9,6.454046402244181,1
S0183,South,Road,Carrier A,Jan,20,900.0,4.06,588.0,0.0,3.2851238413422723,1
S0184,South,Road,Carrier A,Apr,96,517.9,2.48,447.04,0.0,2.6193751529336353,0
S0185,East,Rail,Carrier A,Sep,43,658.8,4.67,314.04,0.4,4.420027917787104,1
S0186,East,Road,Carrier D,May,81,32.4,0.6,112.19,0.0,1.1589638327071545,0
S0187,South,Road,Carrier B,Jun,77,449.4,2.27,421.33,0.0,3.0943201563810976,1
S0188,North,Air,Carrier D,Feb,109,229.0,1.55,518.76,0.0,4.994428494681072,0
S0189,East,Rail,Carrier A,Jun,76,666.8,4.02,372.47,0.4,2.883800715640246,0
S0190,North,Road,Carrier C,Sep,63,406.8,1.99,273.16,0.0,1.2666989553519212,0
S0191,West,Road,Carrier B,Jul,67,254.3,1.6,301.02,0.0,2.604082035589402,1
S0192,North,Air,Carrier B,Jul,112,93.9,2.09,341.0,0.0,4.454518040959037,1
S0193,North,Road,Carrier D,Nov,93,291.1,2.17,284.91,0.0,3.376069596320771,1
S0194,West,Road,Carrier D,Mar,70,567.6,2.94,470.46,0.4,2.161143890487482,1
S0195,North,Air,Carrier D,Apr,74,691.4,1.8,1190.82,0.0,2.3147571928209763,1
S0196,North,Road,Carrier A,Aug,41,199.6,1.53,169.3,0.0,2.440299728850187,0
S0197,East,Rail,Carrier A,Jun,90,900.0,4.06,455.65,0.0,3.361197884053996,1
S0198,West,Road,Carrier C,Dec,36,539.2,2.89,429.22,0.0,4.338196132938653,1
S0199,North,Rail,Carrier A,Jan,99,126.2,1.84,142.27,0.0,4.052423012799171,1
S0200,South,Road,Carrier C,Feb,83,102.3,1.38,96.19,0.0,3.4560121821091285,1
S0201,East,Road,Carrier B,May,140,240.0,1.19,256.15,0.0,1.6683552399425168,1
S0202,West,Road,Carrier B,Jun,52,199.2,1.37,145.62,0.0,1.6720674860065587,1
S0203,South,Road,Carrier D,Nov,77,370.2,2.7,380.43,0.0,3.5332520212137632,1
S0204,North,Air,Carrier C,Jun,125,269.6,0.72,598.69,0.0,1.6545289020671057,1
S0205,North,Road,Carrier A,Jun,110,212.4,3.18,207.68,0.4,2.7744329789313955,1
S0206,North,Road,Carrier A,Mar,63,64.1,1.8,113.92,0.0,3.304150446186177,1
S0207,North,Rail,Carrier C,Jun,86,415.2,3.9,195.03,0.9,1.8624060046373112,1
S0208,East,Rail,Carrier B,Jul,80,58.6,1.53,72.96,0.0,1.9757376656411365,1
S0209,North,Road,Carrier A,Aug,87,540.4,3.23,456.7,0.0,2.9058789354321815,0
S0210,South,Road,Carrier B,Aug,63,37.1,0.92,202.62,0.0,3.503650287524054,1
S0211,East,Air,Carrier C,Jun,78,55.1,0.6,272.01,0.0,4.061518770413757,1
S0212,East,Rail,Carrier D,Feb,40,125.7,2.12,138.83,0.4,3.6070534347705516,1
S0213,North,Rail,Carrier B,Feb,83,185.6,2.19,160.15,0.0,3.0736565949921943,1
S0214,West,Air,Carrier B,Feb,91,156.5,1.08,360.73,0.0,2.2538052464429508,1
S0215,East,Rail,Carrier A,Aug,74,185.0,1.58,234.09,0.0,1.9290930041554808,1
S0216,East,Road,Carrier B,Nov,40,318.9,2.36,262.56,0.0,2.4891229116708526,1
S0217,North,Road,Carrier B,Nov,105,128.2,2.15,268.19,0.4,3.409935584980567,1
S0218,North,Road,Carrier B,Apr,89,321.0,3.17,347.36,0.9,3.3366237066273428,1
S0219,West,Rail,Carrier C,Jan,62,30.0,0.6,60.0,0.0,1.0,1
S0220,South,Air,Carrier A,Aug,73,124.1,1.08,303.35,0.4,2.2143229717324973,1
S0221,South,Road,Carrier A,Jan,42,52.2,2.6,107.34,0.4,4.204507551606156,1
S0222,South,Road,Carrier A,Aug,54,536.3,2.61,403.65,0.0,3.0792150478041393,1
S0223,East,Road,Carrier D,May,67,143.2,1.07,168.33,0.0,1.582991086897014,1
S0224,West,Air,Carrier C,Nov,111,397.8,2.15,905.3,0.0,5.355821181598151,1
S0225,South,Road,Carrier A,Aug,64,42.5,0.9,85.57,0.0,2.9710582676852355,1
S0226,West,Road,Carrier D,Sep,96,684.0,3.87,520.51,0.9,3.384333959313408,1
S0227,North,Road,Carrier B,May,67,281.1,1.81,288.35,0.0,3.3995247560451345,1
S0228,East,Road,Carrier B,Nov,86,258.1,1.68,254.45,0.4,2.632404533839814,0
S0229,East,Road,Carrier D,Jul,76,64.9,1.48,138.87,0.4,2.2724263181786055,1
S0230,North,Road,Carrier A,Aug,102,110.9,1.97,161.69,0.0,5.12167498506594,1
S0231,North,Road,Carrier A,May,67,217.6,2.39,239.1,0.0,4.003205869617751,1
S0232,South,Road,Carrier C,Jun,41,114.8,2.39,181.1,0.4,3.8219372011086765,1
S0233,West,Road,Carrier A,Nov,45,501.8,3.83,398.6,0.9,3.5762891917182107,1
S0234,East,Road,Carrier C,May,67,275.0,1.46,270.57,0.0,1.9966826096383155,1
S0235,West,Road,Carrier A,Jan,49,116.1,1.85,220.86,0.0,4.277530191740274,1
S0236,West,Rail,Carrier A,May,90,451.5,2.81,312.97,0.0,2.1568673419882507,1
S0237,South,Road,Carrier A,May,68,195.8,2.24,219.17,0.0,3.2832867981506455,1
S0238,West,Road,Carrier B,Jun,139,437.7,1.98,328.48,0.0,1.3606100945354311,0
S0239,North,Road,Carrier A,Jan,37,171.8,1.64,148.18,0.0,1.0,1
S0240,North,Road,Carrier A,Feb,85,379.1,2.36,322.76,0.0,3.3182912026531146,1
S0241,West,Road,Carrier D,Apr,52,190.4,1.96,205.82,0.0,2.190900732805092,1
S0242,West,Road,Carrier B,Jun,68,501.9,1.88,357.02,0.0,1.0108324287027268,1
S0243,North,Air,Carrier B,Jan,84,43.6,0.9,198.56,0.0,3.5406095029470754,0
S0244,East,Road,Carrier A,May,22,86.9,2.49,109.14,0.4,5.120080771050789,1
S0245,East,Road,Carrier B,Apr,86,232.9,2.23,197.92,0.0,4.389560258580062,1
S0246,West,Road,Carrier A,Jan,128,148.6,1.97,201.41,0.0,2.7426821147343277,1
S0247,East,Road,Carrier C,Apr,69,185.8,2.23,157.39,0.0,3.0088453066969456,1
S0248,South,Road,Carrier A,Apr,86,409.5,2.61,318.6,0.0,3.8877062567839134,0
S0249,South,Rail,Carrier D,Feb,106,182.7,2.05,176.66,0.0,4.122128019834907,1
S0250,South,Rail,Carrier D,Oct,76,329.2,2.52,182.61,0.0,2.6564642811743013,1
S0251,East,Road,Carrier A,Jan,65,123.3,1.46,184.41,0.0,3.0341777157245744,1
S0252,West,Road,Carrier A,Jul,23,33.5,0.89,129.7,0.0,3.3006148067645364,1
S0253,South,Road,Carrier A,Aug,96,435.9,3.0,350.9,0.0,3.5538763202788317,1
S0254,North,Road,Carrier C,Oct,77,785.5,3.02,543.44,0.0,2.866923557988733,0
S0255,North,Rail,Carrier A,Jul,55,305.2,2.33,233.81,0.4,2.8799147549312556,1
S0256,East,Road,Carrier D,Jul,83,242.6,3.17,235.0,0.4,4.379832329754388,1
S0257,West,Road,Carrier C,Oct,65,282.4,2.68,246.58,0.0,4.2095207024428865,1
S0258,North,Air,Carrier C,Nov,67,623.4,1.71,1111.94,0.0,3.4774105734360883,1
S0259,North,Road,Carrier B,Mar,95,307.8,2.5,336.84,0.0,4.719109070022928,1
S0260,East,Road,Carrier D,Oct,47,450.4,2.7,370.55,0.0,2.6135542377735828,1
S0261,North,Rail,Carrier A,Jun,106,436.9,2.0,333.51,0.0,4.622973448629381,1
S0262,West,Road,Carrier B,Feb,45,530.4,2.66,334.21,0.0,3.5425154435355504,1
S0263,South,Road,Carrier B,Aug,63,238.7,2.52,313.73,0.0,6.2710261222145895,1
S0264,North,Road,Carrier D,Dec,128,169.9,1.39,227.29,0.0,1.8075180732175222,1
S0265,West,Air,Carrier C,Feb,108,382.0,1.77,781.82,0.0,2.3106547477826584,1
S0266,North,Road,Carrier C,Jan,82,505.6,3.66,417.01,0.4,3.418797828200548,1
S0267,South,Road,Carrier A,Nov,56,570.3,3.35,431.58,0.4,3.397234052978992,0
S0268,North,Road,Carrier D,Aug,67,673.8,3.02,498.86,0.0,4.950138984175019,1
S0269,North,Road,Carrier B,Mar,82,475.5,2.71,389.06,0.0,2.331625316700466,0
S0270,North,Rail,Carrier B,Oct,81,162.3,1.74,161.5,0.0,3.904918518693884,1
S0271,North,Road,Carrier D,May,78,304.9,2.32,322.44,0.0,4.162463004681996,1
S0272,North,Road,Carrier B,Apr,79,285.7,2.12,221.7,0.0,3.7046478322206475,1
S0273,North,Road,Carrier B,Apr,75,263.4,2.61,228.67,0.0,2.03900365807568,1
S0274,East,Rail,Carrier C,Aug,44,382.6,2.15,329.32,0.0,4.407758805254198,1
S0275,East,Road,Carrier A,Feb,67,222.3,2.25,218.23,0.4,4.229324931315414,1
S0276,South,Air,Carrier B,May,103,222.5,1.4,508.43,0.0,3.5995845197903775,1
S0277,South,Road,Carrier A,Apr,46,816.4,3.45,535.78,0.0,3.204347687208954,1
S0278,South,Road,Carrier A,Jan,75,248.2,2.31,261.25,0.0,3.226108010044371,1
S0279,West,Rail,Carrier D,Oct,60,527.8,3.54,284.08,0.0,2.9212642077606223,1
S0280,West,Air,Carrier C,Jan,83,548.2,1.99,970.95,0.0,3.640785134252642,1
S0281,North,Road,Carrier B,Dec,70,311.0,1.79,311.77,0.0,3.0311348529449775,1
S0282,North,Air,Carrier B,Feb,117,229.3,1.41,504.35,0.0,2.151475024647359,1
S0283,North,Road,Carrier B,May,93,127.8,1.25,203.35,0.0,1.951408355172408,1
S0284,North,Road,Carrier C,Feb,47,57.7,1.23,147.22,0.0,2.247963746347708,1
S0285,East,Air,Carrier D,May,97,401.6,1.98,808.78,0.4,3.222132242549452,0
S0286,South,Road,Carrier D,Aug,61,347.3,2.54,303.73,0.0,2.9730441635647926,1
S0287,North,Rail,Carrier B,Feb,66,442.8,2.97,392.25,0.0,3.215343793288749,1
S0288,South,Road,Carrier B,Jul,88,178.8,1.35,254.08,0.0,3.500813133546111,1
S0289,East,Rail,Carrier B,Oct,68,869.7,3.83,461.47,0.0,2.372679074083121,1
S0290,North,Road,Carrier B,Jun,102,369.1,1.81,311.45,0.0,4.465660168345348,1
S0291,West,Road,Carrier B,Feb,61,241.2,3.09,231.71,0.9,2.732289172952526,1
S0292,North,Road,Carrier C,Sep,65,31.0,1.54,163.3,0.0,2.566573015218491,1
